ID,PAPER NAME,AUTHORS NAME,PAPER LINK
49,Landmark-RxR: Solving Vision-and-Language Navigation with Fine-Grained Alignment Supervision,"Keji He, Yan Huang, Qi Wu, Jianhua Yang, Dong An, Shuanglin Sima, Liang Wang",/paper/2021/hash/0602940f23884f782058efac46f64b0f-Abstract.html
50,A Winning Hand: Compressing Deep Networks Can Improve Out-of-Distribution Robustness,"James Diffenderfer, Brian Bartoldson, Shreya Chaganti, Jize Zhang, Bhavya Kailkhura",/paper/2021/hash/0607f4c705595b911a4f3e7a127b44e0-Abstract.html
51,On the Importance of Gradients for Detecting Distributional Shifts in the Wild,"Rui Huang, Andrew Geng, Yixuan Li",/paper/2021/hash/063e26c670d07bb7c4d30e6fc69fe056-Abstract.html
52,Iterative Methods for Private Synthetic Data: Unifying Framework and New Methods,"Terrance Liu, Giuseppe Vietri, Steven Z. Wu",/paper/2021/hash/0678c572b0d5597d2d4a6b5bd135754c-Abstract.html
53,Understanding End-to-End Model-Based Reinforcement Learning Methods as Implicit Parameterization,"Clement Gehring, Kenji Kawaguchi, Jiaoyang Huang, Leslie Kaelbling",/paper/2021/hash/067a26d87265ea39030f5bd82408ce7c-Abstract.html
54,Mirror Langevin Monte Carlo: the Case Under Isoperimetry,Qijia Jiang,/paper/2021/hash/069090145d54bf4aa3894133f7e89873-Abstract.html
55,Do Different Tracking Tasks Require Different Appearance Models?,"Zhongdao Wang, Hengshuang Zhao, Ya-Li Li, Shengjin Wang, Philip Torr, Luca Bertinetto",/paper/2021/hash/06997f04a7db92466a2baa6ebc8b872d-Abstract.html
56,Towards robust vision by multi-task learning on monkey visual cortex,"Shahd Safarani, Arne Nix, Konstantin Willeke, Santiago Cadena, Kelli Restivo, George Denfield, Andreas Tolias, Fabian Sinz",/paper/2021/hash/06a9d51e04213572ef0720dd27a84792-Abstract.html
57,Arbitrary Conditional Distributions with Energy,"Ryan Strauss, Junier B. Oliva",/paper/2021/hash/06c284d3f757b15c02f47f3ff06dc275-Abstract.html
58,Learning Domain Invariant Representations in Goal-conditioned Block MDPs,"Beining Han, Chongyi Zheng, Harris Chan, Keiran Paster, Michael Zhang, Jimmy Ba",/paper/2021/hash/06d172404821f7d01060cc9629171b2e-Abstract.html
59,Near-Optimal Multi-Perturbation Experimental Design for Causal Structure Learning,"Scott Sussex, Caroline Uhler, Andreas Krause",/paper/2021/hash/06d5ae105ea1bea4d800bc96491876e9-Abstract.html
60,Fuzzy Clustering with Similarity Queries,"Wasim Huleihel, Arya Mazumdar, Soumyabrata Pal",/paper/2021/hash/06f2e099b4f87109d52e15d7c05f0084-Abstract.html
61,Improving black-box optimization in VAE latent space using decoder uncertainty,"Pascal Notin, José Miguel Hernández-Lobato, Yarin Gal",/paper/2021/hash/06fe1c234519f6812fc4c1baae25d6af-Abstract.html
62,Sample Selection for Fair and Robust Training,"Yuji Roh, Kangwook Lee, Steven Whang, Changho Suh",/paper/2021/hash/07563a3fe3bbe7e3ba84431ad9d055af-Abstract.html
63,NeurWIN: Neural Whittle Index Network For Restless Bandits Via Deep RL,"Khaled Nakhleh, Santosh Ganji, Ping-Chun Hsieh, I-Hong Hou, Srinivas Shakkottai",/paper/2021/hash/0768281a05da9f27df178b5c39a51263-Abstract.html
64,Sageflow: Robust Federated Learning against Both Stragglers and Adversaries,"Jungwuk Park, Dong-Jun Han, Minseok Choi, Jaekyun Moon",/paper/2021/hash/076a8133735eb5d7552dc195b125a454-Abstract.html
65,Alias-Free Generative Adversarial Networks,"Tero Karras, Miika Aittala, Samuli Laine, Erik Härkönen, Janne Hellsten, Jaakko Lehtinen, Timo Aila",/paper/2021/hash/076ccd93ad68be51f23707988e934906-Abstract.html
66,Noise2Score: Tweedie’s Approach to Self-Supervised Image Denoising without Clean Images,"Kwanyoung Kim, Jong Chul Ye",/paper/2021/hash/077b83af57538aa183971a2fe0971ec1-Abstract.html
67,Continuous Mean-Covariance Bandits,"Yihan Du, Siwei Wang, Zhixuan Fang, Longbo Huang",/paper/2021/hash/07811dc6c422334ce36a09ff5cd6fe71-Abstract.html
68,Dynamic Visual Reasoning by Learning Differentiable Physics Models from Video and Language,"Mingyu Ding, Zhenfang Chen, Tao Du, Ping Luo, Josh Tenenbaum, Chuang Gan",/paper/2021/hash/07845cd9aefa6cde3f8926d25138a3a2-Abstract.html
69,Solving Soft Clustering Ensemble via $k$-Sparse Discrete Wasserstein Barycenter,"Ruizhe Qin, Mengying Li, Hu Ding",/paper/2021/hash/07a4e20a7bbeeb7a736682b26b16ebe8-Abstract.html
70,Bayesian Adaptation for Covariate Shift,"Aurick Zhou, Sergey Levine",/paper/2021/hash/07ac7cd13fd0eb1654ccdbd222b81437-Abstract.html
71,Perturb-and-max-product: Sampling and learning in discrete energy-based models,"Miguel Lazaro-Gredilla, Antoine Dedieu, Dileep George",/paper/2021/hash/07b1c04a30f798b5506c1ec5acfb9031-Abstract.html
72,Towards Unifying Behavioral and Response Diversity for Open-ended Learning in Zero-sum Games,"Xiangyu Liu, Hangtian Jia, Ying Wen, Yujing Hu, Yingfeng Chen, Changjie Fan, ZHIPENG HU, Yaodong Yang",/paper/2021/hash/07bba581a2dd8d098a3be0f683560643-Abstract.html
73,Towards Better Understanding of Training Certifiably Robust Models against Adversarial Examples,"Sungyoon Lee, Woojin Lee, Jinseong Park, Jaewook Lee",/paper/2021/hash/07c5807d0d927dcd0980f86024e5208b-Abstract.html
74,Mitigating Covariate Shift in Imitation Learning via Offline Data With Partial Coverage,"Jonathan Chang, Masatoshi Uehara, Dhruv Sreenivas, Rahul Kidambi, Wen Sun",/paper/2021/hash/07d5938693cc3903b261e1a3844590ed-Abstract.html
75,Global Filter Networks for Image Classification,"Yongming Rao, Wenliang Zhao, Zheng Zhu, Jiwen Lu, Jie Zhou",/paper/2021/hash/07e87c2f4fc7f7c96116d8e2a92790f5-Abstract.html
76,CAFE: Catastrophic Data Leakage in Vertical Federated Learning,"Xiao Jin, Pin-Yu Chen, Chia-Yi Hsu, Chia-Mu Yu, Tianyi Chen",/paper/2021/hash/08040837089cdf46631a10aca5258e16-Abstract.html
77,Fault-Tolerant Federated Reinforcement Learning with Theoretical Guarantee,"Xiaofeng Fan, Yining Ma, Zhongxiang Dai, Wei Jing, Cheston Tan, Bryan Kian Hsiang Low",/paper/2021/hash/080acdcce72c06873a773c4311c2e464-Abstract.html
78,Compacter: Efficient Low-Rank Hypercomplex Adapter Layers,"Rabeeh Karimi Mahabadi, James Henderson, Sebastian Ruder",/paper/2021/hash/081be9fdff07f3bc808f935906ef70c0-Abstract.html
79,Distilling Image Classifiers in Object Detectors,"Shuxuan Guo, Jose M. Alvarez, Mathieu Salzmann",/paper/2021/hash/082a8bbf2c357c09f26675f9cf5bcba3-Abstract.html
80,Subgroup Generalization and Fairness of Graph Neural Networks,"Jiaqi Ma, Junwei Deng, Qiaozhu Mei",/paper/2021/hash/08425b881bcde94a383cd258cea331be-Abstract.html
81,Scaling Neural Tangent Kernels via Sketching and Random Features,"Amir Zandieh, Insu Han, Haim Avron, Neta Shoham, Chaewon Kim, Jinwoo Shin",/paper/2021/hash/08ae6a26b7cb089ea588e94aed36bd15-Abstract.html
82,BatchQuant: Quantized-for-all Architecture Search with Robust Quantizer,"Haoping Bai, Meng Cao, Ping Huang, Jiulong Shan",/paper/2021/hash/08aee6276db142f4b8ac98fb8ee0ed1b-Abstract.html
83,Long Short-Term Transformer for Online Action Detection,"Mingze Xu, Yuanjun Xiong, Hao Chen, Xinyu Li, Wei Xia, Zhuowen Tu, Stefano Soatto",/paper/2021/hash/08b255a5d42b89b0585260b6f2360bdd-Abstract.html
84,Near Optimal Policy Optimization via REPS,"Aldo Pacchiano, Jonathan N Lee, Peter Bartlett, Ofir Nachum",/paper/2021/hash/08d562c1eedd30b15b51e35d8486d14c-Abstract.html
85,Self-Consistent Models and Values,"Greg Farquhar, Kate Baumli, Zita Marinho, Angelos Filos, Matteo Hessel, Hado P. van Hasselt, David Silver",/paper/2021/hash/08f0efebb1c51aada9430a089a2050cc-Abstract.html
86,Learning on Random Balls is Sufficient for Estimating (Some) Graph Parameters,"Takanori Maehara, Hoang NT",/paper/2021/hash/08f36fcf88c0a84c19a6ed437b9cbcc9-Abstract.html
87,Risk-Averse Bayes-Adaptive Reinforcement Learning,"Marc Rigter, Bruno Lacerda, Nick Hawes",/paper/2021/hash/08f90c1a417155361a5c4b8d297e0d78-Abstract.html
88,Iterative Connecting Probability Estimation for Networks,"Yichen Qin, Linhan Yu, Yang Li",/paper/2021/hash/0919b5c38396c3f0c41f1112d538e42c-Abstract.html
89,Learning to Adapt via Latent Domains for Adaptive Semantic Segmentation,"Yunan Liu, Shanshan Zhang, Yang Li, Jian Yang",/paper/2021/hash/092cb13c22d51c22b9035a2b4fe76b00-Abstract.html
90,Single Layer Predictive Normalized Maximum Likelihood for Out-of-Distribution Detection,"Koby Bibas, Meir Feder, Tal Hassner",/paper/2021/hash/093b60fd0557804c8ba0cbf1453da22f-Abstract.html
91,Prototypical Cross-Attention Networks for Multiple Object Tracking and Segmentation,"Lei Ke, Xia Li, Martin Danelljan, Yu-Wing Tai, Chi-Keung Tang, Fisher Yu",/paper/2021/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html
92,Algorithmic Instabilities of Accelerated Gradient Descent,"Amit Attia, Tomer Koren",/paper/2021/hash/094bb65ef46d3eb4be0a87877ec333eb-Abstract.html
93,Learning Optimal Predictive Checklists,"Haoran Zhang, Quaid Morris, Berk Ustun, Marzyeh Ghassemi",/paper/2021/hash/09676fac73eda6cac726c43e43e86c58-Abstract.html
94,Finite Sample Analysis of Average-Reward TD Learning and $Q$-Learning,"Sheng Zhang, Zhe Zhang, Siva Theja Maguluri",/paper/2021/hash/096ffc299200f51751b08da6d865ae95-Abstract.html
95,Generalization Bounds for Graph Embedding Using Negative Sampling: Linear vs Hyperbolic,"Atsushi Suzuki, Atsushi Nitanda, jing wang, Linchuan Xu, Kenji Yamanishi, Marc Cavazza",/paper/2021/hash/09779bb7930c8a0a44360e12b538ae3c-Abstract.html
96,Gradient Starvation: A Learning Proclivity in Neural Networks,"Mohammad Pezeshki, Oumar Kaba, Yoshua Bengio, Aaron C. Courville, Doina Precup, Guillaume Lajoie",/paper/2021/hash/0987b8b338d6c90bbedd8631bc499221-Abstract.html
97,Offline Reinforcement Learning as One Big Sequence Modeling Problem,"Michael Janner, Qiyang Li, Sergey Levine",/paper/2021/hash/099fe6b0b444c23836c4a5d07346082b-Abstract.html
98,Optimality and Stability in Federated Learning: A Game-theoretic Approach,"Kate Donahue, Jon Kleinberg",/paper/2021/hash/09a5e2a11bea20817477e0b1dfe2cc21-Abstract.html
99,Understanding Deflation Process in Over-parametrized Tensor Decomposition,"Rong Ge, Yunwei Ren, Xiang Wang, Mo Zhou",/paper/2021/hash/09a630e07af043e4cae879dd60db1cac-Abstract.html
100,Privately Learning Subspaces,"Vikrant Singhal, Thomas Steinke",/paper/2021/hash/09b69adcd7cbae914c6204984097d2da-Abstract.html
101,On the Value of Interaction and Function Approximation in Imitation Learning,"Nived Rajaraman, Yanjun Han, Lin Yang, Jingbo Liu, Jiantao Jiao, Kannan Ramchandran",/paper/2021/hash/09dbc1177211571ef3e1ca961cc39363-Abstract.html
102,Shapeshifter: a Parameter-efficient Transformer using Factorized Reshaped Matrices,"Aliakbar Panahi, Seyran Saeedi, Tom Arodz",/paper/2021/hash/09def3ebbc44ff3426b28fcd88c83554-Abstract.html
103,The Adaptive Doubly Robust Estimator and a Paradox Concerning Logging Policy,"Masahiro Kato, Kenichiro McAlinn, Shota Yasui",/paper/2021/hash/09e7655fc1dc8fa7c9d6c4478313d5e6-Abstract.html
104,Regularized Softmax Deep Multi-Agent Q-Learning,"Ling Pan, Tabish Rashid, Bei Peng, Longbo Huang, Shimon Whiteson",/paper/2021/hash/0a113ef6b61820daa5611c870ed8d5ee-Abstract.html
105,Physics-Aware Downsampling with Deep Learning for Scalable Flood Modeling,"Niv Giladi, Zvika Ben-Haim, Sella Nevo, Yossi Matias, Daniel Soudry",/paper/2021/hash/0a3b5a7a477d359746061d41c3a04fd6-Abstract.html
106,Systematic Generalization with Edge Transformers,"Leon Bergen, Timothy O'Donnell, Dzmitry Bahdanau",/paper/2021/hash/0a4dc6dae338c9cb08947c07581f77a2-Abstract.html
107,TransformerFusion: Monocular RGB Scene Reconstruction using Transformers,"Aljaz Bozic, Pablo Palafox, Justus Thies, Angela Dai, Matthias Niessner",/paper/2021/hash/0a87257e5308197df43230edf4ad1dae-Abstract.html
108,Maximum Likelihood Training of Score-Based Diffusion Models,"Yang Song, Conor Durkan, Iain Murray, Stefano Ermon",/paper/2021/hash/0a9fdbb17feb6ccb7ec405cfb85222c4-Abstract.html
